City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,sao joao da barra,-21.6348588,-41.0487079,87.91,76,98,6.22,BR,1675785905
273,avarua,-21.2074736,-159.7708145,78.78,89,20,6.91,CK,1675785878
274,hoa binh,10.6312134,107.3746446,74.39,88,45,9.04,VN,1675785907
275,taman,45.2158646,36.7191326,30.7,93,100,28.83,RU,1675785909
276,rethimnon,35.3676472,24.4736079,44.22,72,100,19.19,GR,1675785910
277,atasu,40.813793,39.669979,34.18,87,100,7.67,TR,1675785912
278,faya,17.9209323,19.0953202,80.56,18,0,21.85,TD,1675785913
279,adrar,27.8733807,-0.2874884,66.42,27,40,4.61,DZ,1675785914
280,bac lieu,9.2824882,105.7260685,76.06,87,78,8.5,VN,1675785915
281,sabang,5.8927453,95.3225751,79.7,81,71,8.23,ID,1675785916
282,lemesos,34.6852901,33.0332657,51.75,46,75,13.8,CY,1675785917
283,atar,20.5181943,-13.0543928,77.52,12,18,14.0,MR,1675785918
284,haibowan,39.6897525,106.8204113,29.14,47,10,5.53,CN,1675785919
285,cayenne,4.9371143,-52.3258307,84.22,70,40,14.97,FR,1675785920
286,husavik,66.0433168,-17.3410402,28.15,68,95,32.57,IS,1675785921
287,iranshahr,27.2069903,60.6882515,75.49,19,0,4.61,IR,1675785922
288,bubaque,11.29969595,-15.833543367212418,77.43,57,31,15.28,GW,1675785922
289,natal,-5.805398,-35.2080905,86.65,74,40,20.71,BR,1675785923
290,longyearbyen,78.2231558,15.6463656,25.07,74,75,42.57,NO,1675785926
291,college,45.32664695,-75.83855656986515,21.61,71,20,14.0,CA,1675785927
292,mys shmidta,68.8928813,-179.4130958,-20.58,96,100,13.96,RU,1675785928
293,merke,42.8713714,73.1738583,31.77,68,23,6.46,KZ,1675785929
294,port hedland,-20.3111814,118.5801181,82.44,89,5,5.75,AU,1675785931
295,yabelo,4.892569,38.094989,74.53,18,32,8.77,ET,1675785934
296,mana,43.0818375,0.9504994,46.27,74,87,8.1,FR,1675785935
297,conceicao do araguaia,-8.2696905,-49.2676864,88.84,59,67,1.83,BR,1675785936
298,turayf,31.6725877,38.6615532,43.05,70,75,16.11,SA,1675785937
299,alto araguaia,-17.3156528,-53.2169365,80.96,65,98,5.35,BR,1675785937
300,foumban,5.7282262,10.8971603,89.19,10,18,3.42,CM,1675785938
301,yibin,28.7701941,104.6289601,53.11,86,100,1.14,CN,1675785939
302,coquimbo,-29.9531928,-71.3379884,71.47,68,0,12.66,CL,1675785939
303,cajamarca,-7.1566682,-78.517306,65.88,59,40,6.91,PE,1675785940
304,palmer,61.5995703,-149.11109,22.12,73,0,13.8,US,1675785660
305,surovikino,48.605141,42.844147,18.23,86,76,20.85,RU,1675785941
306,rawson,-43.2991348,-65.1056655,81.77,28,30,13.2,AR,1675785942
307,alice springs,-23.6983884,133.8812885,78.35,65,46,5.75,AU,1675785943
308,aasiaat,68.709588,-52.8512976,-6.56,91,100,8.39,GL,1675785943
309,codrington,51.508188,-2.3936619,47.75,72,3,1.01,GB,1675785944
310,tianpeng,28.8838283,112.3423091,46.58,88,100,4.61,CN,1675785945
311,bosaso,11.27848,49.179952,75.74,77,24,5.95,SO,1675785946
312,guane,22.2020234,-84.0829154,81.77,59,30,14.61,CU,1675785946
313,katsuura,35.1521846,140.3207449,51.48,84,100,13.89,JP,1675785947
314,kloulklubed,7.0415131,134.2564595,82.09,77,100,18.05,PW,1675785948
315,coihaique,-45.5711804,-72.0684863,71.85,46,40,8.05,CL,1675785948
316,darlowo,54.42914965,16.403846355275693,33.94,83,99,9.22,PL,1675785949
317,ilulissat,69.2197127,-51.0986385,-9.11,77,75,6.91,GL,1675785950
318,rio gallegos,-51.64607595,-69.26322885452636,66.27,42,20,6.91,AR,1675785950
319,ca mau,9.1792215,105.1457909,75.81,84,92,5.14,VN,1675785951
320,ghanzi,-21.6968123,21.6457062,87.04,33,76,2.53,BW,1675785952
321,sinnamary,5.3770561,-52.9571586,80.08,83,63,10.56,FR,1675785952
322,bluefields,12.0131543,-83.764907,82.35,78,75,6.91,NI,1675785953
323,paamiut,61.994618,-49.6659478,3.78,80,100,6.82,GL,1675785954
324,maine-soroa,13.2151567,12.0280819,85.75,12,93,14.61,NE,1675785954
325,tuatapere,-46.1323096,167.6907627,51.19,79,85,10.07,NZ,1675785955
326,tarudant,30.470651,-8.877922,64.36,34,1,18.5,MA,1675785956
327,calawag,10.6044835,119.6490569,78.53,83,82,10.0,PH,1675785956
328,grindavik,63.844239,-22.4317498,30.02,69,75,27.63,IS,1675785957
329,plouzane,48.3817165,-4.6212044,46.63,52,0,18.41,FR,1675785957
330,alofi,-19.0534159,-169.919199,75.7,100,100,5.75,NU,1675785880
331,vestmannaeyjar,63.42704985,-20.269317184750797,31.91,93,100,26.46,IS,1675785958
332,general roca,-39.0266276,-67.5754863,98.56,13,0,8.68,AR,1675785959
333,vestmanna,62.156,-7.166,45.64,81,100,24.16,FO,1675785960
334,teahupoo,-17.840272,-149.22237039798483,75.78,70,60,8.39,FR,1675785960
335,witu,-2.3877454,40.4393028,80.76,75,18,12.46,KE,1675785961
336,jiddah,21.5810088,39.1653612,73.31,49,0,16.11,SA,1675785962
337,leresti,45.328833,25.0717585,18.12,87,97,5.39,RO,1675785963
338,cabedelo,-6.97324,-34.8351609,88.48,64,87,15.88,BR,1675785965
339,wamba,41.676222,-4.9172803,43.99,58,40,14.97,ES,1675785966
340,xuddur,4.1237042,43.8915563,84.51,29,13,10.18,SO,1675785967
341,abapo,-18.9058852,-63.3993393,83.79,60,98,3.83,BO,1675785969
342,hirata,37.2219658,140.5756791,36.37,97,100,4.68,JP,1675785972
343,broken hill,-31.965,141.4511111,74.3,26,0,9.42,AU,1675785974
344,port hawkesbury,45.6180851,-61.3574589,29.91,60,0,16.11,CA,1675785976
345,pahrump,36.2083012,-115.9839128,41.5,51,0,3.0,US,1675785977
346,nyrob,60.7430341,56.73349,1.13,99,98,3.24,RU,1675785979
